Point_ID,latitude,longitude,BUFF_DIST,REFERENCE_YEAR,DOM_LAYER_PCT,DOM_LAYER_BASAL_AREA,DOM_LAYER_STEMS_PER_HA,DOM_LAYER_VERTICAL_COMPLEXITY,DOM_LAYER_COVER_PATTERN,DOM_LAYER_SPECIES_CODE,DOM_LAYER_HEIGHT,DOM_LAYER_AGE,DOM_LAYER_ID,Shape_Area
CAVELL-1,52.68170144,-118.0401,300,2020,10,2,225,3,8,BL,10.1,121,A Layer,9108.212355
CAVELL-1,52.68170144,-118.0401,300,2020,30,20,520,4,9,BL,15,173,A Layer,16112.87325
CAVELL-1,52.68170144,-118.0401,300,2020,50,28,1100,4,9,BL,14.3,164,A Layer,25767.19475
CAVELL-1,52.68170144,-118.0401,300,2020,40,15,900,4,8,SE,11.2,70,A Layer,27561.3659
CAVELL-1,52.68170144,-118.0401,300,2020,50,28,1100,4,9,BL,14.4,166,A Layer,61230.02593
CAVELL-1,52.68170144,-118.0401,300,2020,30,2,850,4,8,BL,5.4,45,A Layer,6303.593549
CAVELL-1,52.68170144,-118.0401,300,2020,,,,,,,,,,3647.925423
CAVELL-10,52.68479671,-118.0347,300,2020,45,28,750,4,9,BL,15.6,172,A Layer,83841.31805
CAVELL-10,52.68479671,-118.0347,300,2020,15,4,190,5,8,BL,13,152,A Layer,12651.02524
CAVELL-10,52.68479671,-118.0347,300,2020,10,2,225,3,8,BL,10.1,121,A Layer,32735.34684
CAVELL-10,52.68479671,-118.0347,300,2020,50,28,1100,4,9,BL,14.3,164,A Layer,14175.27571
CAVELL-10,52.68479671,-118.0347,300,2020,5,0,100,3,3,BL,6,90,A Layer,128.6600949
CAVELL-2,52.67939365,-118.0378,300,2020,10,2,225,3,8,BL,10.1,121,A Layer,11605.63626
CAVELL-2,52.67939365,-118.0378,300,2020,50,28,1100,4,9,BL,14.4,166,A Layer,12980.46458
CAVELL-2,52.67939365,-118.0378,300,2020,30,2,850,4,8,BL,5.4,45,A Layer,28861.21055
CAVELL-2,52.67939365,-118.0378,300,2020,5,0,100,3,3,BL,6,90,A Layer,2992.93475
CAVELL-2,52.67939365,-118.0378,300,2020,,,,,,,,,,4214.171369
CAVELL-3,52.67722693,-118.0337,300,2020,10,2,225,3,8,BL,10.1,121,A Layer,58871.91405
CAVELL-3,52.67722693,-118.0337,300,2020,30,2,850,4,8,BL,5.4,45,A Layer,5203.507712
CAVELL-3,52.67722693,-118.0337,300,2020,5,0,100,3,3,BL,6,90,A Layer,8126.84728
CAVELL-3,52.67722693,-118.0337,300,2020,3,0,60,3,1,BL,5,90,A Layer,21285.80613
CAVELL-3,52.67722693,-118.0337,300,2020,,,,,,,,,,9182.096474
