Point_ID,latitude,longitude,REFERENCE_YEAR,DOM_LAYER_PCT,DOM_LAYER_BASAL_AREA,DOM_LAYER_STEMS_PER_HA,DOM_LAYER_VERTICAL_COMPLEXITY,DOM_LAYER_COVER_PATTERN,DOM_LAYER_SPECIES_CODE,DOM_LAYER_HEIGHT,DOM_LAYER_AGE
CAVELL-1,52.68170144,-118.0401,2020,10,2,225,3,8,BL,10.1,121
CAVELL-10,52.68479671,-118.0347,2020,10,2,225,3,8,BL,10.1,121
CAVELL-2,52.67939365,-118.0378,2020,5,0,100,3,3,BL,6,90
CAVELL-3,52.67722693,-118.0337,2020,5,0,100,3,3,BL,6,90
CAVELL-4,52.67983697,-118.0333,2020,5,0,100,3,3,BL,6,90
CAVELL-5,52.68107347,-118.0297,2020,,,,,,,,
CAVELL-6,52.68294825,-118.026,2020,5,0,100,3,3,BL,6,90
CAVELL-7,52.6847719,-118.0293,2020,5,0,100,3,3,BL,6,90
CAVELL-8,52.68692387,-118.0258,2020,15,2,225,3,8,BL,9.1,120
CAVELL-9,52.68743676,-118.0309,2020,5,0,100,3,3,BL,6,90
COTTONWOOD-1,52.89175898,-118.0925,2020,5,3,50,5,8,FDI,23.3,151
COTTONWOOD-10,52.89605303,-118.0943,2020,35,30,370,4,8,SW,22.1,100
COTTONWOOD-2,52.89256096,-118.0968,2020,40,20,765,4,8,SB,17.1,108
COTTONWOOD-3,52.89321198,-118.1013,2020,45,30,600,3,8,AT,23.4,127
COTTONWOOD-4,52.89238201,-118.1057,2020,1,1,13,4,3,PLI,23.3,141
COTTONWOOD-5,52.89257202,-118.1102,2020,1,1,13,4,3,PLI,23.3,141
COTTONWOOD-6,52.89496397,-118.1122,2020,35,25,383,3,8,PLI,21,134
COTTONWOOD-7,52.89576402,-118.1166,2020,5,2,54,4,3,FDI,22.8,139
COTTONWOOD-8,52.89501099,-118.1077,2020,10,6,126,3,8,AT,22.2,117
COTTONWOOD-9,52.89550904,-118.0989,2020,1,1,11,4,3,FDI,16,110
ELYSIUM-1,52.88492396,-118.2618,2020,45,32,610,4,8,AT,21.4,101
ELYSIUM-10,52.90203058,-118.2896,2020,15,10,135,3,8,PLI,21.4,122
ELYSIUM-2,52.88633061,-118.2657,2020,5,2,59,3,8,PLI,23.3,120
ELYSIUM-3,52.8882395,-118.2688,2020,40,25,600,4,8,SB,19.3,117
ELYSIUM-4,52.88988026,-118.2725,2020,10,10,126,3,8,PLI,22.5,125
ELYSIUM-5,52.8922199,-118.2749,2020,10,8,144,3,8,PLI,20.4,125
ELYSIUM-6,52.89418328,-118.2779,2020,10,8,144,3,8,PLI,20.4,125
ELYSIUM-7,52.89613651,-118.281,2020,5,2,63,3,8,PLI,21,135
ELYSIUM-8,52.8973342,-118.285,2020,5,2,63,3,8,PLI,21,135
ELYSIUM-9,52.89926799,-118.2882,2020,40,27,650,3,8,PLI,20,115
FIDDLE-1,53.03090385,-117.5446,2020,45,25,565,4,8,SE,16.6,142
FIDDLE-10,53.02978344,-117.5114,2020,,,,,,,,
FIDDLE-2,53.03337065,-117.5438,2020,45,25,815,4,8,BL,15.2,102
FIDDLE-3,53.03512565,-117.5414,2020,45,25,815,4,8,BL,15.2,102
FIDDLE-4,53.03482281,-117.5368,2020,1,0,20,4,3,BL,7,90
FIDDLE-5,53.03556888,-117.5328,2020,10,1,320,5,6,BL,6.8,76
FIDDLE-6,53.03525498,-117.5286,2020,1,0,20,4,3,BL,6,70
FIDDLE-7,53.03396367,-117.5238,2020,,,,,,,,
FIDDLE-8,53.03259691,-117.5198,2020,,,,,,,,
FIDDLE-9,53.03084568,-117.5153,2020,,,,,,,,
MAJESTIC-1,52.74993315,-118.2654,2020,0,0,0,,,NA,0,0
MAJESTIC-10,52.73883451,-118.236,2020,1,0,35,2,1,BL,3.1,30
MAJESTIC-2,52.7473159,-118.2638,2020,3,0,73,1,3,BL,4,55
MAJESTIC-3,52.74441962,-118.2622,2020,3,0,73,1,3,BL,4,55
MAJESTIC-4,52.7418069,-118.2602,2020,12,1,255,2,8,BL,6,75
MAJESTIC-5,52.73915847,-118.2581,2020,2,0,46,2,3,BL,3.5,45
MAJESTIC-6,52.73740196,-118.2534,2020,2,0,46,2,3,BL,3.5,45
MAJESTIC-7,52.73672135,-118.2489,2020,20,2,712,4,8,BL,6.2,71
MAJESTIC-8,52.73641842,-118.2443,2020,3,0,73,1,3,BL,4,55
MAJESTIC-9,52.73723206,-118.2413,2020,1,0,35,2,1,BL,3.1,30
MUSHROOM-1,53.06593702,-118.0644,2020,30,24,280,4,8,SW,19,100
MUSHROOM-2,53.06382302,-118.0674,2020,5,2,15,4,3,SW,17,55
MUSHROOM-3,53.06123796,-118.0693,2020,5,2,15,4,3,SW,17,55
MUSHROOM-4,53.05912899,-118.0724,2020,55,45,475,4,9,SW,24.9,134
MUSHROOM-5,53.05649699,-118.0757,2020,10,8,120,4,8,SW,19,140
MUSHROOM-6,53.05637101,-118.0823,2020,20,15,225,4,6,SW,17,95
MUSHROOM-7,53.05832701,-118.0789,2020,20,15,225,4,6,SW,17,95
MUSHROOM-8,53.06098198,-118.0775,2020,20,15,225,4,6,SW,17,95
MUSHROOM-9,53.06283102,-118.0739,2020,20,15,225,4,6,SW,17,95
OPAL-1,52.74501557,-117.614,2020,10,1,180,4,8,BL,5.2,45
OPAL-10,52.74553207,-117.6236,2020,30,28,330,4,8,SE,22.7,147
OPAL-2,52.74313476,-117.6109,2020,10,1,180,4,8,BL,5.2,45
OPAL-3,52.74895314,-117.6123,2020,1,0,10,1,3,BL,3,25
OPAL-4,52.75143435,-117.614,2020,1,0,10,1,3,BL,3,25
OPAL-5,52.7537931,-117.6168,2020,1,0,10,1,3,BL,2.5,25
OPAL-6,52.75581457,-117.6205,2020,35,0,1080,1,8,BL,4.1,25
OPAL-7,52.7538636,-117.624,2020,20,15,225,4,8,BL,14.8,116
OPAL-8,52.75056448,-117.6222,2020,30,2,825,3,8,BL,6.1,35
OPAL-9,52.7479422,-117.6217,2020,45,40,365,4,8,SE,25.8,176
POBOKTAN-1,52.39019914,-117.1802,2020,,,,,,,,
POBOKTAN-10,52.38189066,-117.1416,2020,1,0,28,3,3,BL,5,70
POBOKTAN-2,52.38869442,-117.1765,2020,,,,,,,,
POBOKTAN-3,52.38642468,-117.1732,2020,,,,,,,,
POBOKTAN-4,52.38614372,-117.1686,2020,1,0,42,3,3,BL,6,80
POBOKTAN-5,52.38628495,-117.1641,2020,1,0,42,3,3,BL,6,80
POBOKTAN-6,52.38533814,-117.1596,2020,1,0,28,3,3,BL,5,70
POBOKTAN-7,52.38491284,-117.1548,2020,1,0,28,3,3,BL,5,70
POBOKTAN-8,52.38404715,-117.1499,2020,1,0,28,3,3,BL,5,70
POBOKTAN-9,52.38297335,-117.1458,2020,1,0,28,3,3,BL,5,70
PYRAMID-1,52.90577721,-118.0877,2020,45,25,698,3,8,AT,20.2,98
PYRAMID-10,52.91838745,-118.0642,2020,40,35,525,3,8,FDI,26.4,173
PYRAMID-2,52.90854416,-118.0869,2020,15,8,144,3,8,AT,20.2,98
PYRAMID-3,52.91173037,-118.0885,2022,40,18,507,3,8,AT,20.7,105
PYRAMID-4,52.91401327,-118.0866,2020,30,18,450,3,8,PLI,18.4,127
PYRAMID-5,52.91377002,-118.0817,2020,5,2,70,4,8,AT,17.3,86
PYRAMID-6,52.91230353,-118.0779,2020,10,10,135,3,8,PLI,20.7,127
PYRAMID-7,52.91329393,-118.0738,2020,45,30,510,4,8,FDI,24.5,156
PYRAMID-8,52.91309444,-118.069,2020,40,36,350,4,8,FDI,23.3,148
PYRAMID-9,52.91561128,-118.065,2020,40,30,543,4,8,FDI,25.8,177
SULPHUR-1,53.11740367,-117.7688,2020,55,35,725,3,8,SX,20.7,187
SULPHUR-2,53.11545504,-117.7657,2020,55,35,725,3,8,SX,20.7,187
SULPHUR-3,53.11404336,-117.7616,2020,60,40,950,3,9,SX,20.7,175
SULPHUR-4,53.11272724,-117.7579,2020,60,40,950,3,9,SX,20.7,175
SULPHUR-5,53.11099,-117.754,2020,40,30,550,3,8,SX,21.2,196
SULPHUR-6,53.11007973,-117.7501,2020,40,30,650,3,8,SX,20,174
SULPHUR-7,53.10938847,-117.7457,2020,50,40,520,4,9,SX,23.7,198
SULPHUR-8,53.10872446,-117.7412,2020,40,40,520,4,8,SX,22.8,154
SULPHUR-9,53.10779843,-117.7369,2020,40,40,520,4,8,SX,22.8,154
SUNWAPTA-1,52.52920252,-117.6404,2020,20,15,240,3,8,PLI,21.2,140
SUNWAPTA-10,52.50596437,-117.6467,2020,25,10,300,3,6,PLI,17.9,140
SUNWAPTA-2,52.52667697,-117.642,2020,20,15,240,3,8,PLI,21.2,140
SUNWAPTA-3,52.52397163,-117.6435,2020,15,10,115,3,8,PLI,21.4,147
SUNWAPTA-4,52.52158564,-117.6458,2020,55,20,1350,2,8,SB,11,70
SUNWAPTA-5,52.51952872,-117.6487,2020,20,20,205,3,6,SW,21.2,172
SUNWAPTA-6,52.51681088,-117.6492,2020,20,20,205,3,6,SW,21.2,172
SUNWAPTA-7,52.51386984,-117.6495,2020,20,20,205,3,6,SW,21.2,172
SUNWAPTA-8,52.51134303,-117.6479,2020,25,10,300,3,8,PLI,18.4,140
SUNWAPTA-9,52.50861942,-117.6478,2020,25,10,300,3,6,PLI,17.9,140
TEKARRA-1,52.86128506,-118.0599,2020,10,2,225,5,9,SW,10.8,52
TEKARRA-10,52.85945294,-118.0424,2020,10,5,160,3,8,AT,17.2,94
TEKARRA-2,52.86022928,-118.0553,2020,10,2,225,5,9,SW,10.8,52
TEKARRA-3,52.86008871,-118.0509,2020,5,1,75,4,3,SW,15,87
TEKARRA-4,52.85796331,-118.0483,2020,50,30,950,4,9,SW,17.3,111
TEKARRA-5,52.85183061,-118.0464,2020,10,5,150,3,8,AT,17.8,93
