Point_ID,latitude,longitude,REFERENCE_YEAR,LANDCOVER_CODE_1,LANDCOVER_CODE_2,LANDCOVER_CODE_3,LANDCOVER_PCT_1,LANDCOVER_PCT_2,LANDCOVER_PCT_3,VEGETATION_DENSITY
CAVELL-1,52.68170144,-118.0401,2020,Tree Coniferous,,,100,0,0,Sparse
CAVELL-10,52.68479671,-118.0347,2020,Tree Coniferous,,,100,0,0,Sparse
CAVELL-2,52.67939365,-118.0378,2020,Shrub Low,,,100,0,0,Open
CAVELL-3,52.67722693,-118.0337,2020,Shrub Low,,,100,0,0,Open
CAVELL-4,52.67983697,-118.0333,2020,Shrub Low,,,100,0,0,Open
CAVELL-5,52.68107347,-118.0297,2020,Herbaceous Mixed,,,100,0,0,Sparse
CAVELL-6,52.68294825,-118.026,2020,Shrub Low,,,100,0,0,Sparse
CAVELL-7,52.6847719,-118.0293,2020,Shrub Low,,,100,0,0,Sparse
CAVELL-8,52.68692387,-118.0258,2020,Tree Coniferous,,,100,0,0,Sparse
CAVELL-9,52.68743676,-118.0309,2020,Shrub Low,,,100,0,0,Sparse
COTTONWOOD-1,52.89175898,-118.0925,2020,Shrub Low,,,100,0,0,Open
COTTONWOOD-10,52.89605303,-118.0943,2020,Treed Mixed,,,100,0,0,Open
COTTONWOOD-2,52.89256096,-118.0968,2020,Tree Coniferous,,,100,0,0,Open
COTTONWOOD-3,52.89321198,-118.1013,2020,Treed Mixed,,,100,0,0,Open
COTTONWOOD-4,52.89238201,-118.1057,2020,Herbaceous Mixed,,,100,0,0,Dense
COTTONWOOD-5,52.89257202,-118.1102,2020,Herbaceous Mixed,,,100,0,0,Dense
COTTONWOOD-6,52.89496397,-118.1122,2020,Tree Coniferous,,,100,0,0,Open
COTTONWOOD-7,52.89576402,-118.1166,2020,Shrub Low,,,100,0,0,Open
COTTONWOOD-8,52.89501099,-118.1077,2020,Treed Mixed,,,100,0,0,Sparse
COTTONWOOD-9,52.89550904,-118.0989,2020,Herbaceous Mixed,,,100,0,0,Dense
ELYSIUM-1,52.88492396,-118.2618,2020,Treed Broadleaf,,,100,0,0,Open
ELYSIUM-10,52.90203058,-118.2896,2020,Tree Coniferous,,,100,0,0,Sparse
ELYSIUM-2,52.88633061,-118.2657,2020,Shrub Low,,,100,0,0,Open
ELYSIUM-3,52.8882395,-118.2688,2020,Tree Coniferous,,,100,0,0,Open
ELYSIUM-4,52.88988026,-118.2725,2020,Tree Coniferous,,,100,0,0,Sparse
ELYSIUM-5,52.8922199,-118.2749,2020,Tree Coniferous,,,100,0,0,Sparse
ELYSIUM-6,52.89418328,-118.2779,2020,Tree Coniferous,,,100,0,0,Sparse
ELYSIUM-7,52.89613651,-118.281,2020,Shrub Low,,,100,0,0,Open
ELYSIUM-8,52.8973342,-118.285,2020,Shrub Low,,,100,0,0,Open
ELYSIUM-9,52.89926799,-118.2882,2020,Tree Coniferous,,,100,0,0,Open
FIDDLE-1,53.03090385,-117.5446,2020,Tree Coniferous,,,100,0,0,Open
FIDDLE-10,53.02978344,-117.5114,2020,Herbaceous Mixed,,,100,0,0,Dense
FIDDLE-2,53.03337065,-117.5438,2020,Tree Coniferous,,,100,0,0,Open
FIDDLE-3,53.03512565,-117.5414,2020,Tree Coniferous,,,100,0,0,Open
FIDDLE-4,53.03482281,-117.5368,2020,Herbaceous Mixed,,,100,0,0,Dense
FIDDLE-5,53.03556888,-117.5328,2020,Tree Coniferous,,,100,0,0,Sparse
FIDDLE-6,53.03525498,-117.5286,2020,Herbaceous Mixed,,,100,0,0,Open
FIDDLE-7,53.03396367,-117.5238,2020,Shrub Low,,,100,0,0,Dense
FIDDLE-8,53.03259691,-117.5198,2020,Herbaceous Mixed,,,100,0,0,Dense
FIDDLE-9,53.03084568,-117.5153,2020,Herbaceous Mixed,,,100,0,0,Dense
MAJESTIC-1,52.74993315,-118.2654,2020,Tree Coniferous,,,100,0,0,Sparse
MAJESTIC-10,52.73883451,-118.236,2020,Shrub Low,,,100,0,0,Open
MAJESTIC-2,52.7473159,-118.2638,2020,Shrub Low,,,100,0,0,Open
MAJESTIC-3,52.74441962,-118.2622,2020,Shrub Low,,,100,0,0,Open
MAJESTIC-4,52.7418069,-118.2602,2020,Tree Coniferous,Shrub Low,,85,15,0,Sparse
MAJESTIC-5,52.73915847,-118.2581,2020,Shrub Low,,,100,0,0,Open
MAJESTIC-6,52.73740196,-118.2534,2020,Shrub Low,,,100,0,0,Open
MAJESTIC-7,52.73672135,-118.2489,2020,Tree Coniferous,,,100,0,0,Sparse
MAJESTIC-8,52.73641842,-118.2443,2020,Shrub Low,,,100,0,0,Open
