Point_ID,latitude,longitude,BUFF_DIST,REFERENCE_YEAR,SHRUB_HEIGHT,SHRUB_CROWN_CLOSURE,COVER_PATTERN_CODE,HERB_COVER_TYPE_CODE,HERB_COVER_PCT,HERB_COVER_PATTERN_CODE,CWD_CODE,Shape_Area
CAVELL-1,52.68170144,-118.0401,300,2020,-99999,-99999,0,HE,3,3,N,3647.925423
CAVELL-1,52.68170144,-118.0401,300,2020,0.5,40,9,HE,47,9,L,9108.212355
CAVELL-1,52.68170144,-118.0401,300,2020,0.5,45,9,HE,20,9,M,16112.87325
CAVELL-1,52.68170144,-118.0401,300,2020,-99999,-99999,0,,-99999,0,L,25767.19475
CAVELL-1,52.68170144,-118.0401,300,2020,0.4,25,8,HE,15,8,M,27561.3659
CAVELL-1,52.68170144,-118.0401,300,2020,-99999,-99999,0,,-99999,0,L,61230.02593
CAVELL-1,52.68170144,-118.0401,300,2020,0.5,50,8,HE,10,3,L,6303.593549
CAVELL-10,52.68479671,-118.0347,300,2020,-99999,-99999,0,,-99999,0,L,83841.31805
CAVELL-10,52.68479671,-118.0347,300,2020,0.4,45,9,HE,40,9,L,12651.02524
CAVELL-10,52.68479671,-118.0347,300,2020,0.5,40,9,HE,47,9,L,32735.34684
CAVELL-10,52.68479671,-118.0347,300,2020,-99999,-99999,0,,-99999,0,L,14175.27571
CAVELL-10,52.68479671,-118.0347,300,2020,0.4,35,8,HE,50,9,L,128.6600949
CAVELL-2,52.67939365,-118.0378,300,2020,-99999,-99999,0,HE,3,3,N,4214.171369
CAVELL-2,52.67939365,-118.0378,300,2020,0.5,40,9,HE,47,9,L,11605.63626
CAVELL-2,52.67939365,-118.0378,300,2020,-99999,-99999,0,,-99999,0,L,12980.46458
CAVELL-2,52.67939365,-118.0378,300,2020,0.5,50,8,HE,10,3,L,28861.21055
CAVELL-2,52.67939365,-118.0378,300,2020,0.4,35,8,HE,50,9,L,2992.93475
CAVELL-3,52.67722693,-118.0337,300,2020,-99999,-99999,0,HE,3,3,N,9182.096474
CAVELL-3,52.67722693,-118.0337,300,2020,0.5,40,9,HE,47,9,L,58871.91405
CAVELL-3,52.67722693,-118.0337,300,2020,0.4,15,3,HE,25,8,L,39382.3923
CAVELL-3,52.67722693,-118.0337,300,2020,0.5,50,8,HE,10,3,L,5203.507712
CAVELL-3,52.67722693,-118.0337,300,2020,0.4,35,8,HE,50,9,L,8126.84728
CAVELL-3,52.67722693,-118.0337,300,2020,0.4,30,8,HE,52,9,L,21285.80613
CAVELL-4,52.67983697,-118.0333,300,2020,0.5,40,9,HE,47,9,L,2102.695282
CAVELL-4,52.67983697,-118.0333,300,2020,-99999,-99999,0,HE,3,3,,2974.48039
CAVELL-4,52.67983697,-118.0333,300,2020,0.4,15,3,HE,25,8,L,28.24500592
CAVELL-4,52.67983697,-118.0333,300,2020,0.4,35,8,HE,50,9,L,4091.965045
CAVELL-5,52.68107347,-118.0297,300,2020,0.5,40,9,HE,47,9,L,539.3011632
CAVELL-5,52.68107347,-118.0297,300,2020,0.2,2,1,HE,18,8,,8240.196843
CAVELL-5,52.68107347,-118.0297,300,2020,-99999,-99999,0,HE,3,3,,1618.022738
CAVELL-5,52.68107347,-118.0297,300,2020,0.4,15,3,HE,25,8,L,33144.30175
CAVELL-6,52.68294825,-118.026,300,2020,-99999,-99999,0,HE,3,3,,22124.30685
CAVELL-6,52.68294825,-118.026,300,2020,0.4,25,8,HE,55,9,L,12100.15454
CAVELL-6,52.68294825,-118.026,300,2020,0.2,2,1,HE,18,8,,41459.74146
CAVELL-6,52.68294825,-118.026,300,2020,-99999,-99999,0,HE,3,3,,27273.28166
CAVELL-7,52.6847719,-118.0293,300,2020,0.4,25,8,HE,55,9,L,3895.574679
CAVELL-7,52.6847719,-118.0293,300,2020,0.5,40,9,HE,47,9,L,1019.768947
CAVELL-7,52.6847719,-118.0293,300,2020,0.4,25,8,HE,45,8,L,38.27194943
CAVELL-8,52.68692387,-118.0258,300,2020,0.4,10,3,HE,22,8,L,3042.546108
CAVELL-8,52.68692387,-118.0258,300,2020,0.5,40,9,HE,40,9,L,5813.856894
CAVELL-8,52.68692387,-118.0258,300,2020,-99999,-99999,0,HE,3,3,,50254.26129
CAVELL-8,52.68692387,-118.0258,300,2020,0.4,25,8,HE,55,9,L,58547.91004
CAVELL-8,52.68692387,-118.0258,300,2020,0.3,5,3,HE,25,8,,1727.093153
CAVELL-8,52.68692387,-118.0258,300,2020,0.3,25,8,HE,45,8,,97.04863265
CAVELL-8,52.68692387,-118.0258,300,2020,0.4,25,8,HE,45,8,L,336.8749618
CAVELL-8,52.68692387,-118.0258,300,2020,0.4,50,9,HE,40,9,L,6720.027183
CAVELL-8,52.68692387,-118.0258,300,2020,0.4,23,8,HE,45,9,L,13603.32137
CAVELL-9,52.68743676,-118.0309,300,2022,-99999,-99999,0,,-99999,0,L,489.317054
CAVELL-9,52.68743676,-118.0309,300,2020,0.5,35,9,HE,35,9,L,28212.23626
CAVELL-9,52.68743676,-118.0309,300,2020,0.4,10,3,HE,22,8,L,16117.02875
CAVELL-9,52.68743676,-118.0309,300,2020,0.5,40,9,HE,40,9,L,10907.21754
CAVELL-9,52.68743676,-118.0309,300,2020,0.4,25,8,HE,55,9,L,18806.69678
CAVELL-9,52.68743676,-118.0309,300,2020,0.4,45,9,HE,40,9,L,1437.80177
CAVELL-9,52.68743676,-118.0309,300,2020,0.5,50,9,HE,40,9,L,14846.28288
CAVELL-9,52.68743676,-118.0309,300,2020,0.4,50,9,HE,40,9,L,5744.025027
CAVELL-9,52.68743676,-118.0309,300,2020,-99999,-99999,0,,-99999,0,L,14432.64713
COTTONWOOD-1,52.89175898,-118.0925,300,2020,1.3,50,8,HG,35,8,L,6740.438849
COTTONWOOD-1,52.89175898,-118.0925,300,2020,0.8,30,8,HE,10,3,L,5128.736979
COTTONWOOD-1,52.89175898,-118.0925,300,2020,0.5,5,3,HE,65,8,L,2795.109242
COTTONWOOD-1,52.89175898,-118.0925,300,2020,0.3,5,3,HF,15,8,N,1664.410942
COTTONWOOD-1,52.89175898,-118.0925,300,2020,0.5,10,3,HE,5,3,L,16920.43487
COTTONWOOD-1,52.89175898,-118.0925,300,2020,0.5,20,8,HE,25,8,L,20261.57365
COTTONWOOD-1,52.89175898,-118.0925,300,2020,1,15,8,HE,5,3,L,3590.614174
COTTONWOOD-1,52.89175898,-118.0925,300,2020,0.5,20,8,HE,60,3,L,70948.18045
COTTONWOOD-1,52.89175898,-118.0925,300,2020,0.5,10,3,HE,65,8,L,1793.24641
COTTONWOOD-1,52.89175898,-118.0925,300,2020,-99999,-99999,0,HE,10,3,L,16892.80889
COTTONWOOD-1,52.89175898,-118.0925,300,2020,1,15,8,HE,5,3,L,17192.76066
COTTONWOOD-10,52.89605303,-118.0943,300,2020,0.5,40,8,HE,40,8,M,13160.27437
COTTONWOOD-10,52.89605303,-118.0943,300,2022,1.5,30,8,HG,5,3,L,3146.700884
