Point_ID,latitude,longitude,REFERENCE_YEAR,SHRUB_HEIGHT,SHRUB_CROWN_CLOSURE,COVER_PATTERN_CODE,HERB_COVER_TYPE_CODE,HERB_COVER_PCT,HERB_COVER_PATTERN_CODE,CWD_CODE
CAVELL-1,52.68170144,-118.0401,2020,0.5,40,9,HE,47,9,L
CAVELL-10,52.68479671,-118.0347,2020,0.5,40,9,HE,47,9,L
CAVELL-2,52.67939365,-118.0378,2020,0.4,35,8,HE,50,9,L
CAVELL-3,52.67722693,-118.0337,2020,0.4,35,8,HE,50,9,L
CAVELL-4,52.67983697,-118.0333,2020,0.4,35,8,HE,50,9,L
CAVELL-5,52.68107347,-118.0297,2020,0.4,15,3,HE,25,8,L
CAVELL-6,52.68294825,-118.026,2020,0.4,25,8,HE,55,9,L
CAVELL-7,52.6847719,-118.0293,2020,0.4,25,8,HE,55,9,L
CAVELL-8,52.68692387,-118.0258,2020,0.5,40,9,HE,40,9,L
CAVELL-9,52.68743676,-118.0309,2020,0.4,25,8,HE,55,9,L
COTTONWOOD-1,52.89175898,-118.0925,2020,0.5,20,8,HE,60,3,L
COTTONWOOD-10,52.89605303,-118.0943,2020,0.3,25,3,HE,25,3,L
COTTONWOOD-2,52.89256096,-118.0968,2020,1,15,8,HE,5,3,L
COTTONWOOD-3,52.89321198,-118.1013,2020,0.5,10,3,HE,5,3,L
COTTONWOOD-4,52.89238201,-118.1057,2020,0.3,10,3,HE,80,8,L
COTTONWOOD-5,52.89257202,-118.1102,2020,0.3,10,3,HE,80,8,L
COTTONWOOD-6,52.89496397,-118.1122,2020,0.5,20,8,HE,10,3,L
COTTONWOOD-7,52.89576402,-118.1166,2020,0.5,35,8,HE,10,3,L
COTTONWOOD-8,52.89501099,-118.1077,2020,0.5,15,3,HE,35,8,L
COTTONWOOD-9,52.89550904,-118.0989,2020,0.5,10,3,HE,65,8,L
ELYSIUM-1,52.88492396,-118.2618,2020,0.5,10,8,,-99999,0,L
ELYSIUM-10,52.90203058,-118.2896,2020,0.7,40,8,HE,5,3,L
ELYSIUM-2,52.88633061,-118.2657,2020,1.4,55,8,,-99999,0,L
ELYSIUM-3,52.8882395,-118.2688,2020,1.2,25,8,,-99999,0,L
ELYSIUM-4,52.88988026,-118.2725,2020,0.8,35,8,HE,10,3,L
ELYSIUM-5,52.8922199,-118.2749,2020,1,40,8,HE,5,3,L
ELYSIUM-6,52.89418328,-118.2779,2020,1,40,8,HE,5,3,L
