site,year,pas_at,tave_sp,latitude,longitude,type,ecoregion,pas_anomaly,tave_anomaly,tsp_resid
CAVELL-1,2006,111.7069642,-1.028911171,52.68170144,-118.0401,Upper Subalpine,Forest,14.74003802,0.943094477,0.485351927136986
CAVELL-1,2007,76.43742896,-1.115054941,52.68170144,-118.0401,Upper Subalpine,Forest,-20.52949722,0.856950707,0.394497156893359
CAVELL-1,2008,50.93083536,-2.564903822,52.68170144,-118.0401,Upper Subalpine,Forest,-46.03609082,-0.592898174,-1.05875867483187
CAVELL-1,2009,113.8199905,-3.097523088,52.68170144,-118.0401,Upper Subalpine,Forest,16.85306432,-1.12551744,-1.58297775003912
CAVELL-1,2010,75.12814096,-1.135554239,52.68170144,-118.0401,Upper Subalpine,Forest,-21.83878522,0.836451409,0.373822975497673
CAVELL-1,2011,102.4770204,-2.87485971,52.68170144,-118.0401,Upper Subalpine,Forest,5.51009422,-0.902854062,-1.36182946812817
CAVELL-1,2012,139.3305103,-1.416707567,52.68170144,-118.0401,Upper Subalpine,Forest,42.36358412,0.555298081,0.101245246114029
CAVELL-1,2013,46.16199868,-1.731644324,52.68170144,-118.0401,Upper Subalpine,Forest,-50.8049275,0.240361324,-0.226136156894364
CAVELL-1,2014,99.31731295,-2.518941658,52.68170144,-118.0401,Upper Subalpine,Forest,2.35038677,-0.54693601,-1.00633346259024
CAVELL-1,2015,109.1764833,0.199027986,52.68170144,-118.0401,Upper Subalpine,Forest,12.20955712,2.171033634,1.71295308432909
CAVELL-1,2016,106.1300033,1.074744143,52.68170144,-118.0401,Upper Subalpine,Forest,9.16307712,3.046749791,2.58826231881297
CAVELL-1,2017,131.9753657,-1.35927401,52.68170144,-118.0401,Upper Subalpine,Forest,35.00843952,0.612731638,0.157696366351908
CAVELL-1,2018,94.09856175,-0.908080632,52.68170144,-118.0401,Upper Subalpine,Forest,-2.86836443,1.063925016,0.603830487647137
CAVELL-1,2019,139.0880458,-1.092451002,52.68170144,-118.0401,Upper Subalpine,Forest,42.12111962,0.879554646,0.425469424797884
CAVELL-1,2020,130.1122709,-2.910089804,52.68170144,-118.0401,Upper Subalpine,Forest,33.14534472,-0.938084156,-1.39336828377838
