transect,pointID,year,month,day,date,day.of.year,start_time,species_code,species_common_name,TTFD,abundance3.3,abundance6.6,abundance10,vocalization,comments,latitude,longitude,elevation,ecoregion,temperature,sky,wind,sound.quality,observer,observer_code,observer_id,transcriber.comments,transcription.method,max.species.individuals,survey_duration
Cavell,Cavell1,2007,7,18,7/18/2007,199,5:52:00 AM,PAWR,Pacific Wren,0.01,1,1,0,Singing,Site tag 591,52.682,-118.04,2004,Upper Subalpine,13.8,overcast,0,Moderate,Theresa Hannah,TH,2,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2007,7,18,7/18/2007,199,5:52:00 AM,PISI,Pine Siskin,5.22,0,1,1,Calling,NA,52.682,-118.04,2004,Upper Subalpine,13.8,overcast,0,Moderate,Theresa Hannah,TH,2,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2007,7,18,7/18/2007,199,5:52:00 AM,HETH,Hermit Thrush,5.52,0,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,13.8,overcast,0,Moderate,Theresa Hannah,TH,2,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2007,7,18,7/18/2007,199,5:52:00 AM,CLNU,Clark's Nutcracker,9.33,0,0,2,Calling,NA,52.682,-118.04,2004,Upper Subalpine,13.8,overcast,0,Moderate,Theresa Hannah,TH,2,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2007,7,18,7/18/2007,199,5:52:00 AM,VATH,Varied Thrush,0.12,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,13.8,overcast,0,Moderate,Theresa Hannah,TH,2,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2008,6,29,6/29/2008,181,5:07:00 AM,AMRO,American Robin,3.19,1,1,0,Calling,NA,52.682,-118.04,2004,Upper Subalpine,16,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2008,6,29,6/29/2008,181,5:07:00 AM,PAWR,Pacific Wren,0.03,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,16,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2008,6,29,6/29/2008,181,5:07:00 AM,MGWA,MacGillivray's Warbler,7.45,0,0,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,16,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2008,6,29,6/29/2008,181,5:07:00 AM,HETH,Hermit Thrush,0.01,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,16,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2008,6,29,6/29/2008,181,5:07:00 AM,GCKI,Golden-crowned Kinglet,8.55,0,0,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,16,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2008,6,29,6/29/2008,181,5:07:00 AM,FOSP,Fox Sparrow,0.18,1,0,0,Singing,NA,52.682,-118.04,2004,Upper Subalpine,16,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2009,6,30,6/30/2009,181,5:24:00 AM,FOSP,Fox Sparrow,0.26,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,6.7,scattered,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2009,6,30,6/30/2009,181,5:24:00 AM,PISI,Pine Siskin,2.32,1,0,1,Calling,NA,52.682,-118.04,2004,Upper Subalpine,6.7,scattered,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2009,6,30,6/30/2009,181,5:24:00 AM,RCKI,Ruby-crowned Kinglet,0.01,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,6.7,scattered,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2009,6,30,6/30/2009,181,5:24:00 AM,VATH,Varied Thrush,3.02,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,6.7,scattered,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2009,6,30,6/30/2009,181,5:24:00 AM,WIWA,Wilson's Warbler,0.11,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,6.7,scattered,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2009,6,30,6/30/2009,181,5:24:00 AM,YRWA,Yellow-rumped Warbler,4.11,0,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,6.7,scattered,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2010,7,9,7/9/2010,190,4:52:00 AM,VATH,Varied Thrush,0.01,3,3,3,Singing,sitting in snowpatch - 2 feet deep,52.682,-118.04,2004,Upper Subalpine,13.8,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2010,7,9,7/9/2010,190,4:52:00 AM,AMRO,American Robin,3.42,0,1,1,Calling,NA,52.682,-118.04,2004,Upper Subalpine,13.8,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2010,7,9,7/9/2010,190,4:52:00 AM,CHSP,Chipping Sparrow,4.56,0,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,13.8,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2010,7,9,7/9/2010,190,4:52:00 AM,FOSP,Fox Sparrow,2.29,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,13.8,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2010,7,9,7/9/2010,190,4:52:00 AM,PAWR,Pacific Wren,3.41,0,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,13.8,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2010,7,9,7/9/2010,190,4:52:00 AM,HETH,Hermit Thrush,0.32,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,13.8,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2011,7,10,7/10/2011,191,4:57:00 AM,VATH,Varied Thrush,0.26,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,8.7,overcast,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
