organization,data_type,project_id,location,location_id,location_buffer_m,longitude,latitude,equipment_make,equipment_model,recording_id,recording_date_time,task_id,is_complete,task_duration,task_method,species_code,species_common_name,species_scientific_name,individual_order,tag_id,individual_count,vocalization,detection_time,tag_duration,rms_peak_dbfs,tag_is_verified,tag_rating,observer,observer_id,task_comments
JNP,multi_day,402,JANP-BAH-000,66149,NA,-117.681778,52.72146,NA,NA,165537,2020-07-15T07:14:00Z,130847,TRUE,180,1SPM,LIBA,Light Background Noise,NA,1,1967491,1,Song,120.49,4.24,-33.02,FALSE,NA,Brandon Law,22,NA
JNP,multi_day,402,JANP-BAH-000,66149,NA,-117.681778,52.72146,NA,NA,165537,2020-07-15T07:14:00Z,130847,TRUE,180,1SPM,LIBA,Light Background Noise,NA,1,1967467,1,Song,0.05,4.49,-32.94,FALSE,NA,Brandon Law,22,NA
JNP,multi_day,402,JANP-BAH-000,66149,NA,-117.681778,52.72146,NA,NA,165537,2020-07-15T07:14:00Z,130847,TRUE,180,1SPM,LIBA,Light Background Noise,NA,1,1967484,1,Song,60.29,4.33,-30.47,FALSE,NA,Brandon Law,22,NA
JNP,multi_day,402,JANP-BAH-000,66149,NA,-117.681778,52.72146,NA,NA,165537,2020-07-15T07:14:00Z,130847,TRUE,180,1SPM,RBNU,Red-breasted Nuthatch,SITTA CANADENSIS,1,1967474,1,Song,0.35,3.6,-67.18,FALSE,NA,Brandon Law,22,NA
JNP,multi_day,402,JANP-BAH-000,66149,NA,-117.681778,52.72146,NA,NA,165537,2020-07-15T07:14:00Z,130847,TRUE,180,1SPM,RBNU,Red-breasted Nuthatch,SITTA CANADENSIS,1,1967490,1,Song,115.4,2.6,-66.49,FALSE,NA,Brandon Law,22,NA
JNP,multi_day,402,JANP-BAH-000,66149,NA,-117.681778,52.72146,NA,NA,165537,2020-07-15T07:14:00Z,130847,TRUE,180,1SPM,RBNU,Red-breasted Nuthatch,SITTA CANADENSIS,1,1967492,1,Song,120.69,2.81,-72.73,FALSE,NA,Brandon Law,22,NA
JNP,multi_day,402,JANP-BAH-000,66149,NA,-117.681778,52.72146,NA,NA,165537,2020-07-15T07:14:00Z,130847,TRUE,180,1SPM,RBNU,Red-breasted Nuthatch,SITTA CANADENSIS,2,1967477,1,Song,4.69,2.18,-66.48,FALSE,NA,Brandon Law,22,NA
JNP,multi_day,402,JANP-BAH-000,66149,NA,-117.681778,52.72146,NA,NA,165537,2020-07-15T07:14:00Z,130847,TRUE,180,1SPM,YRWA,Yellow-rumped Warbler,SETOPHAGA CORONATA,1,1967481,1,Song,64.46,1.85,-73.92,FALSE,NA,Brandon Law,22,NA
JNP,multi_day,402,JANP-BAH-000,66149,NA,-117.681778,52.72146,NA,NA,165537,2020-07-15T07:14:00Z,130847,TRUE,180,1SPM,YRWA,Yellow-rumped Warbler,SETOPHAGA CORONATA,1,1967489,1,Song,123.99,1.93,-62.66,FALSE,NA,Brandon Law,22,NA
JNP,multi_day,402,JANP-BAH-000,66149,NA,-117.681778,52.72146,NA,NA,165537,2020-07-15T07:14:00Z,130847,TRUE,180,1SPM,YRWA,Yellow-rumped Warbler,SETOPHAGA CORONATA,1,1967465,1,Song,6.01,1.83,-74.49,FALSE,NA,Brandon Law,22,NA
JNP,multi_day,402,JANP-BAH-000,66149,NA,-117.681778,52.72146,NA,NA,165537,2020-07-15T07:14:00Z,130847,TRUE,180,1SPM,VATH,Varied Thrush,IXOREUS NAEVIUS,2,1967472,1,Song,18.33,1.64,-73.25,FALSE,NA,Brandon Law,22,NA
JNP,multi_day,402,JANP-BAH-000,66149,NA,-117.681778,52.72146,NA,NA,165537,2020-07-15T07:14:00Z,130847,TRUE,180,1SPM,VATH,Varied Thrush,IXOREUS NAEVIUS,2,1967483,1,Song,71.76,1.69,-72.59,FALSE,NA,Brandon Law,22,NA
JNP,multi_day,402,JANP-BAH-000,66149,NA,-117.681778,52.72146,NA,NA,165537,2020-07-15T07:14:00Z,130847,TRUE,180,1SPM,VATH,Varied Thrush,IXOREUS NAEVIUS,1,1967494,1,Song,132.35,1.44,-77.75,FALSE,NA,Brandon Law,22,NA
