"Long-term changes in bird populations by species group from 1970 to 2022, Canada",,,
Acadian flycatcher,Decreasing,Yes,Forest birds
Acadian flycatcher,Decreasing,Yes,Long-distance migrants
Acadian flycatcher,Decreasing,Yes,Aerial insectivores
Alder Flycatcher,Stable,Yes,Aerial insectivores
Alder Flycatcher,Stable,Yes,Long-distance migrants
Alder Flycatcher,Stable,Yes,Wetland birds
American avocet,Increasing,Yes,Shorebirds
American avocet,Increasing,Yes,Wetland birds
American bittern,Decreasing,Yes,Wetland birds
American black duck,Decreasing,Yes,Wetland birds
American black duck,Decreasing,Yes,Waterfowl
American coot,Decreasing,Yes,Wetland birds
American golden-plover,Decreasing,Yes,Arctic birds
American golden-plover,Decreasing,Yes,Long-distance migrants
American golden-plover,Decreasing,Yes,Shorebirds
American goshawk,Stable,No,Forest birds
American goshawk,Stable,No,Birds of prey
American kestrel,Decreasing,No,Birds of prey
American kestrel,Decreasing,No,Grassland birds
American oystercatcher,Data deficient,Yes,Shorebirds
American Redstart,Stable,Yes,Long-distance migrants
American Redstart,Stable,Yes,Forest birds
American Three-toed Woodpecker,Decreasing,Yes,Forest birds
American white pelican,Increasing,No,Wetland birds
American wigeon,Decreasing,Yes,Waterfowl
American wigeon,Decreasing,Yes,Wetland birds
American woodcock,Decreasing,Yes,Shorebirds
Ancient murrelet,Increasing,Yes,Marine birds
Arctic tern,Data deficient,Yes,Long-distance migrants
Arctic tern,Data deficient,Yes,Arctic birds
Arctic tern,Data deficient,Yes,Marine birds
Atlantic puffin,Increasing,Yes,Marine birds
Available on the Environmental indicators website (www.canada.ca/environmental-indicators).,,,
Baird's sandpiper,Stable,Yes,Arctic birds
Baird's sandpiper,Stable,Yes,Long-distance migrants
Baird's sandpiper,Stable,Yes,Shorebirds
Baird's sparrow,Decreasing,Yes,Grassland birds
Bald eagle,Increasing,No,Birds of prey
Baltimore oriole,Decreasing,Yes,Long-distance migrants
Band-tailed pigeon,Decreasing,Yes,Forest birds
Bank swallow,Decreasing,Yes,Aerial insectivores
Bank swallow,Decreasing,Yes,Long-distance migrants
Barn owl,Stable,No,Birds of prey
Barn swallow,Decreasing,Yes,Long-distance migrants
Barn swallow,Decreasing,Yes,Aerial insectivores
Barred owl,Increasing,No,Forest birds
Barred owl,Increasing,No,Birds of prey
Barrow's goldeneye,Increasing,Yes,Wetland birds
Barrow's goldeneye,Increasing,Yes,Waterfowl
Barrow's goldeneye,Increasing,Yes,Marine birds
Bay-breasted warbler,Stable,Yes,Long-distance migrants
Bay-breasted warbler,Stable,Yes,Forest birds
Belted kingfisher,Decreasing,No,Wetland birds
Bermuda petrel,Data deficient,Yes,Marine birds
Bicknell's thrush,Decreasing,Yes,Forest birds
Bicknell's thrush,Decreasing,Yes,Long-distance migrants
Black guillemot,Increasing,Yes,Marine birds
Black oystercatcher,Increasing,Yes,Shorebirds
Black scoter,Decreasing,Yes,Waterfowl
Black scoter,Decreasing,Yes,Marine birds
Black swift,Decreasing,Yes,Aerial insectivores
Black swift,Decreasing,Yes,Long-distance migrants
Black tern,Decreasing,Yes,Wetland birds
Black tern,Decreasing,Yes,Marine birds
Black tern,Decreasing,Yes,Long-distance migrants
Black turnstone,Stable,Yes,Shorebirds
Black-and-white warbler,Stable,Yes,Forest birds
Black-and-white warbler,Stable,Yes,Long-distance migrants
Black-backed woodpecker,Stable,Yes,Forest birds
Black-bellied plover,Decreasing,Yes,Shorebirds
Black-bellied plover,Decreasing,Yes,Arctic birds
Black-billed cuckoo,Decreasing,Yes,Long-distance migrants
Black-capped Chickadee,Increasing,Yes,Forest birds
Black-chinned hummingbird,Increasing,Yes,Long-distance migrants
Black-crowned night heron,Decreasing,Yes,Wetland birds
Black-footed albatross,Stable,Yes,Marine birds
Black-headed grosbeak,Increasing,Yes,Forest birds
Black-headed gull,Data deficient,Yes,Marine birds
Black-legged kittiwake,Decreasing,Yes,Marine birds
Black-throated blue warbler,Increasing,Yes,Forest birds
Black-throated blue warbler,Increasing,Yes,Long-distance migrants
Black-throated gray warbler,Decreasing,Yes,Forest birds
Black-throated green warbler,Decreasing,Yes,Forest birds
Black-throated green warbler,Decreasing,Yes,Long-distance migrants
Blackburnian warbler,Stable,Yes,Forest birds
Blackburnian warbler,Stable,Yes,Long-distance migrants
Blackpoll Warbler,Decreasing,Yes,Forest birds
Blackpoll Warbler,Decreasing,Yes,Long-distance migrants
Blue-headed vireo,Increasing,Yes,Forest birds
Blue-winged teal,Stable,Yes,Wetland birds
Blue-winged teal,Stable,Yes,Waterfowl
Blue-winged teal,Stable,Yes,Long-distance migrants
Bluethroat,Data deficient,Yes,Arctic birds
Bluethroat,Data deficient,Yes,Long-distance migrants
Bobolink,Decreasing,Yes,Long-distance migrants
Bobolink,Decreasing,Yes,Grassland birds
Bohemian waxwing,Decreasing,Yes,Forest birds
Boreal Chickadee,Decreasing,Yes,Forest birds
